
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  1.05E-006  1.505E-006 4.535E-009 6.505E-009
l3027157                 7.402      1.028     0.1829      2.471    0.1521     2.055
l2973155                 7.397      1.027      0.185      2.501    0.1553     2.099
m1186052                 7.584      1.053    0.01426      0.188   0.01908    0.2516
198-5320                 7.584      1.053    0.01426      0.188   0.01908    0.2516
l3216346                 7.447      1.034          0          0         0         0
l2858163                 7.445      1.034          0          0         0         0
m1047813                 7.199     0.9999          0          0         0         0
l2973149                 7.199     0.9999          0          0         0         0
l3086079                  7.56       1.05          0          0         0         0
m1069574                 7.456      1.036          0          0         0         0
l2710530                 7.456      1.036          0          0         0         0
m1069285                  7.69      1.068          0          0         0         0
m4113348                  7.69      1.068          0          0         0         0
l2879074                 7.335      1.019          0          0         0         0
m1026916                  7.55      1.049          0          0         0         0
e193509                  7.612      1.057    0.01808     0.2375   0.02743    0.3603
m1047794                 7.227      1.004          0          0         0         0
m1047796                 7.227      1.004          0          0         0         0
l3027116                 7.874      1.094      0.055     0.6985     0.121     1.537
l2929261                 7.474      1.038          0          0         0         0
m1166375                 7.605      1.056    0.01646     0.2164   0.02218    0.2916
p895080                  7.609      1.057          0          0         0         0
l2973156                 7.531      1.046          0          0         0         0
m1069311                 7.597      1.055     0.1858      2.445   0.09373     1.234
m1069208                  7.54      1.047          0          0         0         0
l2691945                  7.54      1.047          0          0         0         0
n1140820                 7.496      1.041          0          0         0         0
m1026468                 7.527      1.045          0          0         0         0
p901909                  7.527      1.045          0          0         0         0
m1026662                 7.395      1.027     0.1276      1.726    0.1728     2.337
n1141473                 7.359      1.022          0          0         0         0
m1026941                 7.467      1.037          0          0         0         0
m1026942                 7.467      1.037          0          0         0         0
n1137985                 7.459      1.036          0          0         0         0
m1047713                 7.432      1.032     0.1716      2.308    0.1375      1.85
m1047720                 7.427      1.032     0.1732      2.332    0.1391     1.873
m1108298                 7.618      1.058    0.01858     0.2439   0.03712    0.4872
196-36167                7.618      1.058    0.01865     0.2449   0.03716    0.4877
e183472                  7.623      1.059    0.03312     0.4345    0.1048     1.375
l2989566                 7.616      1.058    0.03398     0.4462    0.1074      1.41
m1010007                  7.69      1.068          0          0         0         0
m1010004                 7.689      1.068          0          0         0         0
p862322                  7.605      1.056    0.03525     0.4635    0.1092     1.436
m1089188                 7.459      1.036          0          0         0         0
m1089189                 7.459      1.036          0          0         0         0
l2972704                 7.556       1.05          0          0         0         0
l3263051                 7.556       1.05          0          0         0         0
n1139544                 7.526      1.045          0          0         0         0
l2897776                 7.526      1.045          0          0         0         0
n1230122                 7.539      1.047          0          0         0         0
l2689726                 7.306      1.015          0          0         0         0
m1142868                 7.614      1.058    0.02145     0.2817   0.04345    0.5706
m1142869                 7.614      1.058     0.0218     0.2863   0.04523     0.594
l2767414                 7.593      1.055          0          0         0         0
m1027027                 7.657      1.063          0          0         0         0
l3270853                 7.657      1.063          0          0         0         0
m1125982                 7.608      1.057          0          0         0         0
m1069572                 7.456      1.036          0          0         0         0
l3066826                 7.456      1.036          0          0         0         0
m1166356                 7.608      1.057          0          0         0         0
l2730187                 7.607      1.057          0          0         0         0
l3122825                 7.838      1.089          0          0         0         0
l2991920                 7.838      1.089          0          0         0         0
n1134474                 7.527      1.046      0.116      1.541    0.1245     1.653
m1069496                 7.528      1.046     0.1164      1.546    0.1266     1.682
l3122826                 7.751      1.077          0          0         0         0
m1047358                  7.75      1.076          0          0         0         0
l3142078                 7.433      1.032          0          0         0         0
l2879752                 7.432      1.032          0          0         0         0
p850072                  7.603      1.056     0.0352      0.463    0.1093     1.438
221-311609               7.603      1.056     0.0352      0.463    0.1093     1.438
m1027023                 7.711      1.071     0.1809      2.346    0.1603     2.079
l3122815                 7.737      1.075          0          0         0         0
l2724120                 7.551      1.049          0          0         0         0
m1069149                 7.551      1.049          0          0         0         0
l2729429                 7.435      1.033          0          0         0         0
l3215549                 7.219      1.003          0          0         0         0
l2897800                 7.213      1.002          0          0         0         0
l3027156                 7.465      1.037          0          0         0         0
l2860481                 7.465      1.037          0          0         0         0
n1140828                 7.399      1.028     0.1283      1.734    0.1726     2.332
m1026708                 7.399      1.028     0.1282      1.733    0.1726     2.333
m1126020                 7.526      1.045          0          0         0         0
m1126023                 7.526      1.045          0          0         0         0
m1026906                 7.477      1.039          0          0         0         0
m1209824                 7.508      1.043          0          0         0         0
m1209828                 7.498      1.041          0          0         0         0
l3195315                 7.601      1.056          0          0         0         0
m1069590                 7.429      1.032          0          0         0         0
m1069595                 7.424      1.031          0          0         0         0
m1027004                 7.207      1.001          0          0         0         0
l2897765                 7.203      1.001          0          0         0         0
m1047314                 7.804      1.084          0          0         0         0
n1137961                 7.804      1.084          0          0         0         0
l2876814                 7.498      1.042     0.1623      2.164    0.1736     2.315
m1026834                 7.495      1.041     0.1627       2.17    0.1737     2.318
m1008743                 7.613      1.057          0          0         0         0
m1008742                 7.613      1.057          0          0         0         0
p827525                  7.511      1.043     0.1584      2.109    0.1711     2.278
m1026902                 7.514      1.044     0.1589      2.114    0.1719     2.288
n1144663                 7.527      1.045     0.1155      1.535    0.1217     1.617
m1089215                 7.527      1.045     0.1157      1.537    0.1227      1.63
m1069467                 7.589      1.054          0          0         0         0
m1047324                 7.777       1.08    0.04686     0.6026    0.1052     1.353
l2897780                 7.789      1.082    0.04783     0.6141    0.1072     1.376
m1069411                 7.574      1.052     0.1829      2.416    0.1049     1.385
l2711226                 7.612      1.057    0.01767     0.2321   0.02618     0.344
l3101789                 7.455      1.035          0          0         0         0
l2841616                 7.621      1.058          0          0         0         0
m1089170                 7.474      1.038          0          0         0         0
l2879062                  7.47      1.037          0          0         0         0
n1139545                 7.567      1.051          0          0         0         0
m1069174                 7.564      1.051          0          0         0         0
n1140517                 7.537      1.047          0          0         0         0
l3157718                 7.537      1.047          0          0         0         0
l2727008                 7.419       1.03          0          0         0         0
m1069629                 7.413       1.03          0          0         0         0
l2691944                 7.673      1.066          0          0         0         0
n1230121                 7.617      1.058          0          0         0         0
m1069533                 7.529      1.046     0.1225      1.627    0.1484     1.972
n1136356                 7.528      1.046     0.1224      1.625    0.1483     1.969
m1142865                 7.613      1.057    0.02059     0.2704   0.03918    0.5146
m1047526                 7.484      1.039     0.1632      2.181    0.1267     1.693
n1136666                 7.484      1.039     0.1632      2.181     0.127     1.697
l2804253                 7.599      1.055          0          0         0         0
m1209790                 7.586      1.054    0.01252      0.165   0.01977    0.2606
m1209788                 7.586      1.054    0.01267      0.167   0.01942     0.256
p850400                  7.547      1.048          0          0         0         0
l3029500                 7.446      1.034          0          0         0         0
m1026764                 7.446      1.034          0          0         0         0
m1108375                 7.691      1.068          0          0         0         0
m1069217                 7.532      1.046          0          0         0         0
l2954350                 7.532      1.046          0          0         0         0
l2802481                 7.529      1.046          0          0         0         0
l3214549                 7.529      1.046          0          0         0         0
l2851933                 7.402      1.028     0.1293      1.747    0.1711     2.312
l3207907                 7.401      1.028     0.1293      1.747    0.1711     2.312
l2841619                 7.459      1.036          0          0         0         0
m1108380                 7.611      1.057    0.03508     0.4609    0.1092     1.434
p904452                    7.6      1.056          0          0         0         0
n1136995                 7.447      1.034          0          0         0         0
m1047613                 7.446      1.034          0          0         0         0
221-306687               7.547      1.048          0          0         0         0
l2916625                 7.547      1.048          0          0         0         0
m1009724                 7.453      1.035          0          0         0         0
m1009720                 7.452      1.035          0          0         0         0
l2822862                 7.507      1.043          0          0         0         0
d6019477-1_int           7.669      1.065          0          0         0         0
e182727                  7.669      1.065          0          0         0         0
m1027043                 7.709      1.071     0.1797      2.332     0.161     2.088
m1026948                 7.635      1.061          0          0         0         0
m1026949                 7.635      1.061          0          0         0         0
m1089131                 7.695      1.069    0.02187     0.2842   0.04628    0.6015
l3270854                 7.732      1.074          0          0         0         0
m1209763                 7.559       1.05          0          0         0         0
l3176661                 7.428      1.032          0          0         0         0
l2970804                 7.428      1.032          0          0         0         0
p827504                  7.567      1.051          0          0         0         0
n1137957                 7.567      1.051          0          0         0         0
l2936275                 7.558       1.05          0          0         0         0
l2766722                 7.465      1.037          0          0         0         0
l3142079                 7.573      1.052          0          0         0         0
m3036162                 7.573      1.052          0          0         0         0
m1026724                 7.422      1.031      0.135       1.82     0.163     2.197
r18243                   7.421      1.031     0.1349      1.818    0.1632     2.199
l2710504                 7.182     0.9976          0          0         0         0
m1142860                 7.613      1.057    0.01985     0.2607   0.03553    0.4667
p895114                  7.604      1.056          0          0         0         0
l3197652                 7.508      1.043          0          0         0         0
p827575                  7.502      1.042          0          0         0         0
m1069437                 7.502      1.042          0          0         0         0
m1069620                 7.423      1.031          0          0         0         0
l3270814                 7.467      1.037          0          0         0         0
m1026378                 7.832      1.088          0          0         0         0
l2897778                 7.831      1.088          0          0         0         0
m1069532                  7.49       1.04          0          0         0         0
l2785534                 7.489       1.04          0          0         0         0
m1069147                 7.554      1.049          0          0         0         0
l3066801                 7.554      1.049          0          0         0         0
m1069556                 7.528      1.046     0.1223      1.625    0.1482     1.969
p901932                  7.593      1.055          0          0         0         0
l2691967                 7.527      1.045     0.1171      1.555    0.1556     2.068
m1069504                 7.525      1.045     0.1168      1.552     0.157     2.087
m1166393                 7.451      1.035          0          0         0         0
m1166395                  7.45      1.035          0          0         0         0
l2766718                 7.604      1.056    0.02598     0.3417    0.0618    0.8127
l3048206                 7.615      1.058    0.02742       0.36   0.06514    0.8554
m1047821                   7.2          1          0          0         0         0
l2684420                   7.2          1          0          0         0         0
p850080                  7.603      1.056    0.03519     0.4628    0.1093     1.438
221-311905               7.603      1.056    0.03519     0.4628    0.1093     1.438
m1089204                 7.534      1.047          0          0         0         0
l3157167                 7.534      1.046          0          0         0         0
m1186072                 7.591      1.054    0.01375     0.1811   0.01835    0.2417
m1186067                 7.591      1.054    0.01387     0.1828   0.01838    0.2422
m1047432                 7.327      1.018          0          0         0         0
l2879075                 7.327      1.018          0          0         0         0
m3037537                 7.445      1.034          0          0         0         0
l3231269                 7.445      1.034          0          0         0         0
r42247                   7.612      1.057    0.01785     0.2345   0.02646    0.3476
m1149233                 7.612      1.057    0.01798     0.2363   0.02702     0.355
m1108266                  7.44      1.033          0          0         0         0
m1108265                 7.439      1.033          0          0         0         0
m1069543                  7.46      1.036          0          0         0         0
m1069535                 7.459      1.036          0          0         0         0
m1126017                 7.526      1.045          0          0         0         0
m1047711                 7.492      1.041          0          0         0         0
m1047718                 7.492      1.041          0          0         0         0
m1069136                  7.69      1.068    0.03977     0.5171   0.08988     1.169
m1009771                 7.497      1.041          0          0         0         0
l2914323                 7.497      1.041          0          0         0         0
m1069218                 7.527      1.045          0          0         0         0
l2954351                 7.526      1.045          0          0         0         0
m1026744                  7.43      1.032      0.138      1.858    0.1588     2.137
m1008752                 7.615      1.058          0          0         0         0
m1008746                 7.614      1.058          0          0         0         0
m1069457                 7.539      1.047     0.1749       2.32    0.1085      1.44
e182745                  7.604      1.056          0          0         0         0
n1139546                 7.459      1.036          0          0         0         0
m1026363                  8.05      1.118          0          0         0         0
l2897779                 8.049      1.118          0          0         0         0
l2841626                 7.532      1.046          0          0         0         0
l2711234                 7.576      1.052          0          0         0         0
l2973178                 7.526      1.045          0          0         0         0
m1149236                  7.61      1.057    0.01749     0.2299   0.02539    0.3336
p829974                  7.612      1.057          0          0         0         0
l3160862                 7.652      1.063          0          0         0         0
l3104850                 7.651      1.063          0          0         0         0
l2748130                  7.57      1.051          0          0         0         0
l3083019                 7.723      1.073          0          0         0         0
m1027080                 7.722      1.073          0          0         0         0
l3085389                 7.615      1.058          0          0         0         0
l2729405                 7.439      1.033          0          0         0         0
p828362                  7.469      1.037     0.1649      2.208    0.1323     1.771
n1136671                 7.468      1.037      0.165      2.209    0.1323     1.771
p901941                  7.585      1.054          0          0         0         0
l3251799                 7.585      1.054          0          0         0         0
m1026308                 7.626      1.059          0          0         0         0
l2897764                 7.626      1.059          0          0         0         0
m1009840                 7.447      1.034          0          0         0         0
l2991901                 7.447      1.034          0          0         0         0
n1134470                 7.711      1.071          0          0         0         0
l3251808                 7.708      1.071          0          0         0         0
l3139086                 7.454      1.035          0          0         0         0
n1137992                 7.491       1.04     0.1596      2.131      0.13     1.736
196-29520                7.491       1.04     0.1596      2.131      0.13     1.736
l3029501                  7.52      1.045          0          0         0         0
m3036165                  7.52      1.045          0          0         0         0
m1026857                 7.489       1.04          0          0         0         0
m1026859                 7.489       1.04          0          0         0         0
m1108311                 7.616      1.058    0.01813      0.238   0.03671    0.4819
l2898526                 7.619      1.058          0          0         0         0
l3048965                 7.612      1.057    0.01832     0.2407   0.02842    0.3733
l3216123                 7.457      1.036     0.1668      2.236     0.132     1.769
n1136996                 7.452      1.035     0.1676       2.25    0.1329     1.784
m1069202                 7.548      1.048          0          0         0         0
l2879073                 7.544      1.048          0          0         0         0
m1089093                 7.556      1.049          0          0         0         0
m1047786                 7.225      1.004          0          0         0         0
l3048207                 7.223      1.003          0          0         0         0
l3160868                 7.575      1.052          0          0         0         0
l3082988                 7.575      1.052          0          0         0         0
l2936211                  7.67      1.065          0          0         0         0
n1140525                 7.455      1.036          0          0         0         0
l3645809                 7.455      1.035          0          0         0         0
p829962                  7.633       1.06          0          0         0         0
m1142835                 7.633       1.06          0          0         0         0
l3125349                 7.591      1.054     0.1854      2.443   0.09968     1.313
n1138604                 7.594      1.055     0.1856      2.444   0.09842     1.296
d5710794-3_int           7.574      1.052    0.01026     0.1354    0.0123    0.1624
e192860                  7.574      1.052    0.01027     0.1356   0.01232    0.1626
l3254216                 7.306      1.015          0          0         0         0
l2785511                 7.534      1.046          0          0         0         0
l2897784                 7.525      1.045          0          0         0         0
m1026496                 7.525      1.045          0          0         0         0
p859135                  7.474      1.038          0          0         0         0
m1027002                  7.72      1.072     0.1836      2.378    0.1587     2.055
l2673313                 7.717      1.072      0.183      2.371    0.1591     2.061
m1047725                 7.357      1.022          0          0         0         0
m1047728                 7.357      1.022          0          0         0         0
m1047300                 7.884      1.095    0.05598     0.7101    0.1229     1.559
m1047299                 7.893      1.096    0.05688     0.7206    0.1246     1.578
l3122835                 7.429      1.032          0          0         0         0
l3234185                 7.179     0.9971          0          0         0         0
l3065750                 7.179     0.9971          0          0         0         0
l2991943                 8.007      1.112          0          0         0         0
l2952013                  7.48      1.039          0          0         0         0
m1026701                 7.398      1.028     0.1279      1.729    0.1731      2.34
m1026697                 7.398      1.028     0.1277      1.727    0.1733     2.342
m1069730                  7.18     0.9973          0          0         0         0
l3159037                  7.18     0.9972          0          0         0         0
m1142833                 7.633       1.06          0          0         0         0
p901913                  7.447      1.034          0          0         0         0
n1140823                 7.402      1.028     0.1293      1.747    0.1711     2.312
m1027066                  7.65      1.063          0          0         0         0
l2841645                  7.65      1.063          0          0         0         0
m1125959                 7.673      1.066          0          0         0         0
m1125974                 7.673      1.066          0          0         0         0
m1069191                 7.602      1.056          0          0         0         0
m1108258                 7.434      1.033          0          0         0         0
p829976                  7.611      1.057          0          0         0         0
l2955078                  7.61      1.057          0          0         0         0
n1147867                  7.46      1.036          0          0         0         0
d5837361-8_int            7.46      1.036          0          0         0         0
m1026792                 7.469      1.037          0          0         0         0
l2821010                 7.468      1.037          0          0         0         0
m1125976                  7.62      1.058    0.02982     0.3914   0.08686      1.14
n1142112                 7.434      1.033          0          0         0         0
p827496                  7.434      1.033          0          0         0         0
221-240988               7.333      1.019          0          0         0         0
l3141411                 7.333      1.018          0          0         0         0
p829956                  7.652      1.063          0          0         0         0
d5535139-1_int           7.625      1.059    0.03366     0.4415    0.1083      1.42
e183473                  7.625      1.059    0.03367     0.4416    0.1083     1.421
m1125997                 7.625      1.059    0.03364     0.4412    0.1082     1.419
m1047518                 7.486       1.04          0          0         0         0
l2973160                 7.486       1.04          0          0         0         0
n1134471                 7.722      1.073          0          0         0         0
m1009838                 7.452      1.035          0          0         0         0
l2801896                 7.451      1.035          0          0         0         0
p827520                  7.567      1.051          0          0         0         0
m1009784                 7.485       1.04     0.1579      2.109    0.1809     2.417
m1009770                 7.485       1.04     0.1574      2.103    0.1818     2.428
n1136669                  7.48      1.039      0.163      2.179     0.134     1.791
l3103822                  7.48      1.039     0.1626      2.173    0.1352     1.808
m3768670                 7.485       1.04     0.1587       2.12    0.1495     1.997
p1123251                 7.496      1.041          0          0         0         0
n1136994                 7.455      1.036          0          0         0         0
l2729428                 7.348      1.021          0          0         0         0
m1026926                 7.542      1.048     0.1637       2.17    0.1711     2.269
n1138000                 7.535      1.047          0          0         0         0
221-242079                7.59      1.054    0.01415     0.1864   0.01923    0.2534
l3011293                  7.59      1.054    0.01415     0.1865   0.01923    0.2533
m1026777                 7.468      1.037          0          0         0         0
l3233353                 7.468      1.037          0          0         0         0
l3029506                 7.486       1.04          0          0         0         0
l3010559                 7.655      1.063          0          0         0         0
m1069213                 7.535      1.047          0          0         0         0
l3178977                 7.535      1.047          0          0         0         0
m1108534                 7.509      1.043     0.1081      1.439   0.08289     1.104
p901934                  7.537      1.047          0          0         0         0
p829796                  7.503      1.042          0          0         0         0
n1142107                 7.503      1.042          0          0         0         0
l2691965                  7.49       1.04          0          0         0         0
l2785538                 7.494      1.041          0          0         0         0
n1139259                 7.502      1.042          0          0         0         0
l2710543                 7.502      1.042          0          0         0         0
q1301                    7.613      1.057    0.01941     0.2549   0.03343    0.4391
l3160872                 7.613      1.057    0.01949      0.256   0.03383    0.4443
p827509                  7.256      1.008          0          0         0         0
m1047793                 7.227      1.004          0          0         0         0
p827555                  7.227      1.004          0          0         0         0
l2879069                 7.431      1.032          0          0         0         0
l2955006                 7.497      1.041          0          0         0         0
l2692600                 7.497      1.041          0          0         0         0
l3029505                 7.446      1.034          0          0         0         0
l2673318                 7.446      1.034          0          0         0         0
m1026682                 7.359      1.022          0          0         0         0
m1047424                 7.518      1.044          0          0         0         0
l2691949                 7.518      1.044          0          0         0         0
m1026699                 7.443      1.034          0          0         0         0
l3085403                  7.36      1.022          0          0         0         0
m4113345                 7.446      1.034          0          0         0         0
l3235255                 7.795      1.083    0.04825      0.619    0.1081     1.387
m1047316                 7.801      1.084    0.04875     0.6248    0.1091     1.399
m1026886                 7.508      1.043      0.158      2.105    0.1698     2.262
l3120484                 7.508      1.043      0.158      2.105    0.1699     2.262
l2879078                 7.397      1.027     0.1275      1.724    0.1734     2.344
m1026681                 7.396      1.027     0.1275      1.723    0.1733     2.343
l3232902                 7.628       1.06    0.03468     0.4546    0.1146     1.502
l3123509                  7.59      1.054    0.01415     0.1864   0.01923    0.2534
m1209772                  7.59      1.054    0.01415     0.1864   0.01923    0.2534
r20703                   7.625      1.059    0.03371     0.4421    0.1085     1.423
l2859403                 7.626      1.059    0.03393     0.4449    0.1099     1.441
m1026927                 7.543      1.048     0.1639      2.173     0.171     2.266
m1125914                 7.614      1.058    0.01767     0.2321   0.03005    0.3946
l2917328                 7.614      1.058    0.01767      0.232    0.0304    0.3993
l2841635                 7.479      1.039     0.1557      2.082    0.1348     1.803
l2766499                 7.444      1.034          0          0         0         0
m1047444                 7.479      1.039          0          0         0         0
m1108459                 7.591      1.054          0          0         0         0
l2802480                  7.59      1.054          0          0         0         0
l2691954                 7.883      1.095    0.06119     0.7762    0.1318     1.672
l3122849                 7.881      1.095    0.06218     0.7891    0.1335     1.694
l2764411                 7.429      1.032          0          0         0         0
m1026907                  7.52      1.044       0.16      2.127    0.1736     2.309
l2729206                 7.446      1.034          0          0         0         0
l2804957                 7.428      1.032          0          0         0         0
l3048937                 7.428      1.032          0          0         0         0
l2822872                 7.496      1.041     0.1608      2.145    0.1283     1.712
l3235946                 7.534      1.046          0          0         0         0
m1126005                 7.531      1.046          0          0         0         0
m1009698                 7.448      1.035          0          0         0         0
l3156034                 7.448      1.035          0          0         0         0
l3254205                 8.005      1.112          0          0         0         0
l3197647                 7.435      1.033          0          0         0         0
m1026778                 7.435      1.033          0          0         0         0
m1026844                 7.499      1.042     0.1623      2.164    0.1736     2.315
n1147861                 7.515      1.044          0          0         0         0
l2973833                 7.603      1.056    0.01592     0.2094   0.02064    0.2714
m1166373                 7.604      1.056    0.01606     0.2112   0.02099     0.276
l2991902                 7.623      1.059          0          0         0         0
m1008758                  7.62      1.058          0          0         0         0
m1026734                 7.444      1.034          0          0         0         0
l3065696                 7.444      1.034          0          0         0         0
l2748780                 7.529      1.046          0          0         0         0
m1125987                 7.621      1.059    0.03117      0.409   0.09427     1.237
p901945                  7.621      1.059    0.03117      0.409   0.09427     1.237
p901910                  7.538      1.047          0          0         0         0
l3027122                 7.541      1.047          0          0         0         0
m1108506                 7.541      1.047          0          0         0         0
l2841637                 8.006      1.112          0          0         0         0
n1139539                 7.705       1.07          0          0         0         0
l2710520                 7.704       1.07          0          0         0         0
m1089119                  7.52      1.044    0.02293      0.305    0.0478    0.6357
p827521                  7.459      1.036          0          0         0         0
l3046854                 7.458      1.036          0          0         0         0
m1047478                 7.468      1.037          0          0         0         0
l2766716                 7.468      1.037          0          0         0         0
n1137003                 7.469      1.037          0          0         0         0
l2973171                 7.438      1.033          0          0         0         0
l3085392                 7.474      1.038          0          0         0         0
p875742                  7.543      1.048          0          0         0         0
m1010008                  7.69      1.068          0          0         0         0
l3784018                 7.395      1.027     0.1863      2.519    0.1572     2.126
m1026703                 7.346       1.02          0          0         0         0
l2973166                 7.346       1.02          0          0         0         0
l3068944                 7.576      1.052          0          0         0         0
m1047550                 7.494      1.041     0.1657      2.211    0.1147     1.531
l2936270                 7.606      1.056          0          0         0         0
l3086078                 7.605      1.056          0          0         0         0
m1047593                 7.466      1.037     0.1654      2.215    0.1322     1.771
m1047615                 7.457      1.036     0.1667      2.236    0.1319     1.769
m1009855                  7.45      1.035          0          0         0         0
l2748139                  7.45      1.035          0          0         0         0
n1140832                 7.336      1.019          0          0         0         0
l2841631                 7.336      1.019          0          0         0         0
m1047819                 7.201          1          0          0         0         0
l2916610                 7.495      1.041          0          0         0         0
l2879076                 7.559       1.05          0          0         0         0
m1089122                 7.557       1.05          0          0         0         0
l2691939                 7.466      1.037          0          0         0         0
m1069489                 7.461      1.036          0          0         0         0
l2933120                  7.46      1.036          0          0         0         0
m1069225                 7.526      1.045          0          0         0         0
m1089120                 7.516      1.044    0.02252     0.2996   0.04712     0.627
l3645810                 7.453      1.035          0          0         0         0
m3763623                 7.453      1.035          0          0         0         0
l3649304                 7.491       1.04          0          0         0         0
m1027042                 7.669      1.065          0          0         0         0
l3178969                 7.455      1.035          0          0         0         0
l2729401                 7.455      1.035          0          0         0         0
l3235249                 7.471      1.038          0          0         0         0
l2954348                  7.47      1.038          0          0         0         0
l3066812                 7.432      1.032          0          0         0         0
l2841622                 7.431      1.032          0          0         0         0
m1209787                 7.588      1.054    0.01296     0.1708   0.01889     0.249
l2823611                 7.589      1.054    0.01331     0.1754   0.01847    0.2434
196-35541                7.615      1.058          0          0         0         0
m1108317                 7.607      1.057          0          0         0         0
m1047340                 7.738      1.075          0          0         0         0
l2991923                 7.738      1.075          0          0         0         0
m1026661                 7.358      1.022          0          0         0         0
p827530                  7.358      1.022          0          0         0         0
p827503                  7.473      1.038          0          0         0         0
n1147865                 7.728      1.073          0          0         0         0
l2895489                 7.728      1.073          0          0         0         0
l2730163                 7.613      1.057     0.0175     0.2298   0.02752    0.3614
m1089103                 7.448      1.035          0          0         0         0
l3048196                 7.447      1.034          0          0         0         0
l2673306                 7.459      1.036          0          0         0         0
l2726973                 7.499      1.042     0.1617      2.156    0.1266     1.688
m1047485                 7.501      1.042     0.1625      2.166    0.1252     1.669
l2991640                 7.493      1.041          0          0         0         0
m1089160                 7.493      1.041          0          0         0         0
l3160101                 7.655      1.063          0          0         0         0
m1125905                 7.574      1.052          0          0         0         0
m1026950                  7.61      1.057     0.1751        2.3    0.1629     2.141
m1026954                 7.622      1.059     0.1769      2.321    0.1617     2.121
m1047558                 7.496      1.041     0.1661      2.215    0.1131     1.509
n1136659                 7.548      1.048          0          0         0         0
l2766741                 7.577      1.052     0.1836      2.424    0.1046      1.38
m1069564                 7.528      1.046     0.1223      1.624    0.1483      1.97
n1136361                 7.508      1.043          0          0         0         0
m1047566                 7.498      1.041     0.1667      2.223    0.1105     1.474
n1137995                 7.554      1.049          0          0         0         0
n1145955                 7.844      1.089          0          0         0         0
m1069461                 7.534      1.046     0.1736      2.305    0.1097     1.456
p827574                  7.597      1.055          0          0         0         0
m1069156                 7.622      1.059    0.02844     0.3731   0.06738     0.884
l3195356                  7.55      1.049    0.02397     0.3175   0.04942    0.6546
n1137996                 7.446      1.034          0          0         0         0
l3178979                 7.446      1.034          0          0         0         0
l3254231                 7.493      1.041          0          0         0         0
l3728042                 7.521      1.045          0          0         0         0
l3728043                  7.52      1.045          0          0         0         0
m1047723                 7.491      1.041          0          0         0         0
m1047729                 7.491       1.04          0          0         0         0
l2895461                 7.469      1.037          0          0         0         0
l3029518                 7.526      1.045          0          0         0         0
l2897807                 7.526      1.045          0          0         0         0
l2785520                 7.554      1.049          0          0         0         0
n1139542                 7.562       1.05          0          0         0         0
221-308718               7.605      1.056    0.03525     0.4635    0.1092     1.436
m1209750                 7.556       1.05          0          0         0         0
l3254869                 7.608      1.057          0          0         0         0
l2798067                 7.608      1.057          0          0         0         0
m1047403                 7.306      1.015          0          0         0         0
m1047404                 7.305      1.015          0          0         0         0
l3102793                 7.422      1.031          0          0         0         0
m1089141                 7.677      1.066    0.02046     0.2666   0.04365    0.5685
n1139547                 7.647      1.062    0.01947     0.2545    0.0403     0.527
l2688693                 7.652      1.063    0.01958     0.2559   0.04081    0.5334
l3048222                 7.508      1.043          0          0         0         0
l3104117                 7.459      1.036          0          0         0         0
221-311583               7.689      1.068          0          0         0         0
n1139250                 7.689      1.068          0          0         0         0
l2690187                 7.596      1.055          0          0         0         0
m1108412                 7.594      1.055          0          0         0         0
m1026690                 7.397      1.027     0.1276      1.724    0.1735     2.345
p873801                  7.547      1.048          0          0         0         0
m1089138                 7.713      1.071          0          0         0         0
l2841628                 7.713      1.071          0          0         0         0
m1069364                  7.55      1.049          0          0         0         0
l2689678                 7.535      1.047          0          0         0         0
m1026463                 7.528      1.046          0          0         0         0
l2692655                 7.612      1.057    0.01766      0.232   0.02616    0.3436
m1142821                 7.612      1.057    0.01764     0.2318    0.0262    0.3442
p827508                  7.608      1.057          0          0         0         0
n1144667                 7.727      1.073          0          0         0         0
m1089162                 7.494      1.041          0          0         0         0
l3029520                 7.453      1.035          0          0         0         0
m1009655                 7.333      1.019          0          0         0         0
p827528                  7.333      1.019          0          0         0         0
l2991906                   7.7       1.07          0          0         0         0
m1027056                 7.728      1.073          0          0         0         0
